"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments","H. Pan; H. Ye; W. Zheng; L. Zhou","the School of Software Nanchang Hangkong University, Jiangxi, China; the School of Software Nanchang Hangkong University, Jiangxi, China; the School of Software Nanchang Hangkong University, Jiangxi, China; the School of Software Nanchang Hangkong University, Jiangxi, China",2026 6th International Conference on Control and Intelligent Robotics (ICCIR),"12 Aug 2026","2026","","","214","217","This paper proposes a BIM-assisted UAV topological localization and navigation framework for GPS-denied indoor environments. The method transforms BIM data into a semantic-topological graph containing rooms, corridors, staircases, and connectivity relationships. UAV image observations are converted into candidate BIM nodes through spatial semantic recognition and OCR-based textual matching rather than directly estimating metric coordinates. A topology-aware recursive localization mechanism is then introduced by integrating BIM adjacency constraints and historical states to infer the most probable indoor location. Furthermore, semantic-cost A* planning is employed to validate whether the estimated topological nodes can support indoor navigation tasks. Experiments were conducted in a real university teaching-building environment with 721 indoor images and 74 navigation frames. Results demonstrate that the proposed framework achieves 95.95% localization coverage and 100% valid-frame node accuracy, showing strong robustness and interpretability for indoor UAV localization and navigation.","","979-8-3315-8348-4","10.1109/ICCIR70228.2026.11633308","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11633308","BIM-assisted localization;UAV indoor navigation;GPS-denied environments;semantic-topological graph;recursive localization;indoor UAV localization","Building information management;Location awareness;Autonomous aerial vehicles;Equations;Navigation;Labeling;Topology;Tagging;Modeling;Indoor environment","","","","7","IEEE","12 Aug 2026","26-28 June 2026","26-28 June 2026","IEEE","IEEE Conferences"
"Comparison of Visual Inertial Odometry using FlightGoggles Simulator for UAV","E. M. Lee; I. Wee; T. Kim; D. H. Shim","School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea; School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea; School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea; School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea","2019 19th International Conference on Control, Automation and Systems (ICCAS)","30 Jan 2020","2019","","","1166","1169","Recently, application of Unmanned Aerial Vehicle (UAV) attract much attention of not only academic but also industrial community. To control and make the most of UAV, state estimation is mandatory and it should work accurately on Real-time on computational-limited onboard PC. Especially, for the cases that GNSS-disabled environments or indoor situation, Visual Inertial Odometry using camera and IMU sensor has been actively studied. Generally, to research and develop the indoor navigation algorithm, high-performanced and super-expensive facilities like motion capture cameras are needed to measure the ground-truth. In this paper, we apply state-of-art Visual Inertial Odometry algorithms for state estimation of UAVs to FlightGoggles simulator which is photorealistic and which reflects UAV's real dynamics. Moreover, we compare the performance and resource utilization of those algorithms.","2642-3901","978-89-93215-17-5","10.23919/ICCAS47443.2019.8971738","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8971738","Visual Inertial Odometry;State Estimation;Indoor Navigation;Unmanned Aerial Vehicle","Visualization;Heuristic algorithms;Indoor navigation;Autonomous aerial vehicles;Cameras;Real-time systems;Odometry;Resource management;State estimation;Videos","","5","","7","","30 Jan 2020","15-18 Oct. 2019","15-18 Oct. 2019","IEEE","IEEE Conferences"
"Autonomous Navigation in GPS-Denied Environments Using Visual SLAM","L. B. Jayswal; S. Khadka; A. K. Shah; B. Yonzan; B. Rimal; N. Bhattarai; D. Chieng; B. Nakarmi","Department of Mechanical and Aerospace Engineering, Tribhuvan University, Lalitpur, Nepal; Department of Mechanical and Aerospace Engineering, Tribhuvan University, Lalitpur, Nepal; Department of Mechanical and Aerospace Engineering, Tribhuvan University, Lalitpur, Nepal; Department of Mechanical and Aerospace Engineering, Tribhuvan University, Lalitpur, Nepal; Department of Mechanical and Aerospace Engineering, Tribhuvan University, Lalitpur, Nepal; Department of Mechanical and Aerospace Engineering, Tribhuvan University, Lalitpur, Nepal; Department of Electrical and Electronic Engineering, University of Nottingham Ningbo China, Ningbo, China; College of Electronic and Information Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China",2026 International Conference on ICT and Photonics (ICTP),"22 Apr 2026","2026","1","","1","5","This paper presents the real-time implementation of a visual Simultaneous Localization and Mapping (SLAM) for indoor quadcopter navigation. The research aims to autonomously navigate in GPS-denied spaces by localization and mapping in real time. The proposed system integrates an Intel RealSense D435 depth camera, a Raspberry Pi 4B for onboard computation, a laser rangefinder for altitude measurement, and a Pixhawk 4 flight controller. The RTAB-Map SLAM is first tested in a simulation using ROS and Gazebo to ensure its robustness and further deployed in real-world experiments. The experiments carried out successfully demonstrated autonomous indoor UAV navigation with a quadcopter operating at a maximum speed of 0.5 m/s while maintaining a set altitude of 0.5 m with a mean path error and mean altitude deviation of 0.094 ± 0.031 m and 0.027 ± 0.005 m respectively, across different indoor environments, while producing 2D grid maps and 3D point cloud (PCL) maps. This work demonstrates that indoor autonomous UAV navigation can be realized using low-cost, off-the-shelf components and open-source SLAM techniques.","","979-8-3315-7289-1","10.1109/ICTP67998.2026.11485150","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11485150","SLAM;Depth camera;Raspberry Pi;GPS-denied;RTAB-Map;ROS;Gazebo;UAV","Propellers;Aircraft propulsion;Aerospace engineering;Radio broadcasting;Frequency modulation;Indoor environment;Location awareness;Product development;Graphical user interfaces;Information and communication technology","","","","12","IEEE","22 Apr 2026","11-14 Feb. 2026","11-14 Feb. 2026","IEEE","IEEE Conferences"
"UAV Navigation and Mission Execution in GPS-Denied Environment","J. -T. Zou; Y. -J. Cheng","Graduate Institute of Aeronautical and Electronic Engineering, National Formosa University, Yunlin, Taiwan; Graduate Institute of Aeronautical and Electronic Engineering, National Formosa University, Yunlin, Taiwan",2025 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),"27 Oct 2025","2025","","","319","320","Precise drone navigation in GNSS-denied environments remains challenging. GPS fails in obstructed areas like cities and forests, limiting applications. Alternatives such as SLAM, INS, and radio-based localization (Wi-Fi, 5G, UWB) improve accuracy and stability. Integrating these technologies enables drones for agriculture, logistics, surveillance, and rescue missions. AI advancements will further enhance adaptability and intelligence.","2575-8284","979-8-3315-8741-3","10.1109/ICCE-Taiwan66881.2025.11207940","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11207940","GNSS-deny;outdoor positioning;autonomous flight;visual positioning;inertial navigation","Visualization;Accuracy;Simultaneous localization and mapping;Surveillance;Urban areas;Radio navigation;Odometry;Wireless fidelity;Drones;Videos","","1","","5","IEEE","27 Oct 2025","16-18 July 2025","16-18 July 2025","IEEE","IEEE Conferences"
"UAV Swarm Navigation in GNSS Denied Region with Formation Control","P. Jain; R. Qureshi; R. Nallanthighal","Electronics and Communication Engineering, Delhi Technological Univeristy, Delhi, India; Electronics and Communication Engineering, Delhi Technological Univeristy, Delhi, India; Electronics and Communication Engineering, Delhi Technological Univeristy, Delhi, India",2023 4th International Conference for Emerging Technology (INCET),"10 Jul 2023","2023","","","1","5","UAVs are becoming extremely essential these days for many applications such as HADR missions. During these missions, there can be a loss of GPS signal due to challenging environments and terrains, and this can hinder the missions so there is a need for a system that provides UAVs the capability to do these missions even in GPS-denied environments. In most of such missions, swarms of UAVs are working. Hence, the aim of this research paper is to propose a reliable GPS-denied navigation system for swarms. The major challenge with the swarm navigation is to achieve inter-UAV collision avoidance. So, this paper mainly focuses on prevention of inter UAV collision. Therefore, to accomplish this objective, the integration of estimations by Visual Odometry and UWB module is proposed in this paper.","","979-8-3503-3575-0","10.1109/INCET57972.2023.10170669","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10170669","GPS-Denied;Visual Odometry;UWB Module;Unmanned Aerial Vehicle;swarm;outdoor navigation","Global navigation satellite system;Navigation;Estimation;Autonomous aerial vehicles;Hardware;Formation control;Reliability","","2","","15","IEEE","10 Jul 2023","26-28 May 2023","26-28 May 2023","IEEE","IEEE Conferences"
"A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments","V. V. Sai Viswa Kiran; A. S. Reddy; H. V. Sri Sai; H. Allaka; R. P. Kumar","Department of Mechanical and Aerospace Engineering, Indian Institute of Technology Hyderabad, Telangana, India; Department of Mechanical and Aerospace Engineering, Indian Institute of Technology Hyderabad, Telangana, India; Department of Mechanical and Aerospace Engineering, Indian Institute of Technology Hyderabad, Telangana, India; Department of Mechanical and Aerospace Engineering, Indian Institute of Technology Hyderabad, Telangana, India; Department of Mechanical and Aerospace Engineering, Indian Institute of Technology Hyderabad, Telangana, India",2026 IEEE Applied Sensing Conference (APSCON),"5 May 2026","2026","","","1","4","Reliable autonomous navigation of Unmanned Aerial Vehicles (UAVs) in GPS-denied environments remains a significant challenge due to signal attenuation, spoofing, and jamming. Indoor environments such as warehouses and industrial facilities suffer from GPS degradation caused by structural occlusions, while outdoor scenarios including forests and flat terrains lack reliable localization cues. To address these challenges, this paper presents a multi-sensor fusion framework for robust UAV navigation in GPS-compromised environments.The proposed approach employs a dual-strategy navigation framework: (i) Visual Simultaneous Localization and Mapping (VSLAM) with 3D point cloud generation for structured indoor environments, and (ii) a VSLAM-based 2D digital twin representation for outdoor environments, integrating visual data with inertial and altitude measurements. Software-in-the-loop (SIL) simulations using ROS and RTAB-Map validate autonomous navigation with obstacle avoidance in warehouse scenarios, while Hardware-in-the-loop (HIL) experiments on an in-house developed UAV platform demonstrate accurate indoor mapping and localization.The results demonstrate that the proposed vision-centric framework enables reliable navigation without dependence on GPS, offering a scalable and resilient solution for UAV operations in GPS-denied environments, with applications in inventory management, surveillance, and search-and-rescue missions.","","979-8-3315-6900-6","10.1109/APSCON68325.2026.11497125","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11497125","GPS spoofing;UAVs;3D map-based localization;sensor fusion;GPS-denied navigation;VSLAM;Multi-sensor fusion;RTAB-Map","Jamming;Aerospace engineering;Electronic warfare;Kalman filters;Filters;Graphical user interfaces;Location awareness;Indoor environment;Product development;Protocols","","","","11","IEEE","5 May 2026","23-25 Feb. 2026","23-25 Feb. 2026","IEEE","IEEE Conferences"
"BRISK-Driven Visual SLAM Loop Closure for ROS2-Based Autonomous Navigation","T. N. V. S. C. Murthy; S. Kochuvila","Department of Electronics and Communication Engineering, Amrita School of Engineering, Bengaluru Amrita Vishwa Vidyapeetham, India; Department of Electronics and Communication Engineering, Amrita School of Engineering, Bengaluru Amrita Vishwa Vidyapeetham, India",2026 7th International Conference on Mobile Computing and Sustainable Informatics (ICMCSI),"4 Mar 2026","2026","","","1067","1072","This paper presents the design and implementation of a visual SLAM (Simultaneous Localization and Mapping) loop closure system for autonomous navigation using BRISK (Binary Robust Invariant Scalable Keypoints) feature descriptors on a TortoiseBot platform. The proposed system integrates visual odometry and IMU data to construct a pose graph, where loop closure constraints are established through keyframe matching based on BRISK features. The entire pipeline is developed using MATLAB and deployed on a ROS2-enabled mobile robot equipped with a monocular camera and 9-axis IMU. Loop closures are detected by comparing current frames with historical keyframes, enabling pose graph optimization that corrects accumulated drift and improves localization accuracy. Experimental validation in both simulated and real indoor environments show improved path alignment and robustness. The method is computationally efficient, making it suitable for low-cost robots in indoor navigation tasks. The approach also lays the groundwork for future enhancements involving dynamic obstacle handling and collaborative SLAM.","","979-8-3315-5519-1","10.1109/ICMCSI67283.2026.11412519","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11412519","Visual SLAM;Loop Closure;BRISK;TortoiseBot;Autonomous Navigation;Pose Graph Optimization;Visual Odometry;ROS2","Visualization;Simultaneous localization and mapping;Robot vision systems;Pipelines;Robustness;Mobile robots;Optimization;Mobile computing;Autonomous robots;Visual odometry","","","","17","IEEE","4 Mar 2026","7-9 Jan. 2026","7-9 Jan. 2026","IEEE","IEEE Conferences"
"A Framework for UAV Navigation and Exploration in GPS-Denied Environments","F. Vanegas; K. J. Gaston; J. Roberts; F. Gonzalez","Robotics and Autonomous Systems, Queensland University of Technology (QUT), Brisbane, QLD, Australia; Environment & Sustainability Institute, University of Exeter, Penryn, Cornwall, UK; Robotics and Autonomous Systems, Queensland University of Technology (QUT), Brisbane, QLD, Australia; Robotics and Autonomous Systems, Queensland University of Technology (QUT), Brisbane, QLD, Australia",2019 IEEE Aerospace Conference,"20 Jun 2019","2019","","","1","6","Unmanned Aerial Vehicles (UAV) are increasingly used in a wide range of applications such as civil infrastructure inspection, agriculture, ecology and remote sensing. UAV autonomous operation relies on the use of GPS in order to localise and plan a mission, however there are places in which GPS positioning is limited or not available, such as in urban and natural canyons or below the canopy. This paper presents the development of a framework that enables a drone to navigate in an unknown, unstructured and GPS-denied environment. The aim of this research is to combine the use of localisation algorithms such as Simultaneous Localisation and Mapping (SLAM) with Partially Observable Markov Decision Processes (POMDP) algorithms into a framework in which the navigation and exploration tasks are modelled as sequential decision problems under uncertainty. The framework tested in simulation allows the UAV to navigate safely, avoiding collisions whilst guiding exploration in order to create an occupancy map of the UAV's surroundings. The proposed system guides the UAV through a series of actions in order to maximise the information gain about the unknown environment. The implementation of the proposed framework will enable the use of UAV for autonomous navigation and exploration in challenging environments where GPS positioning is not available or limited.","1095-323X","978-1-5386-6854-2","10.1109/AERO.2019.8741612","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8741612","","Unmanned aerial vehicles;Uncertainty;Global Positioning System;Simultaneous localization and mapping;Biological system modeling","","48","","14","IEEE","20 Jun 2019","2-9 March 2019","2-9 March 2019","IEEE","IEEE Conferences"
"Body-Centered Dynamically-Tuned Error-State Extended Kalman Filter for Visual Inertial Odometry in GNSS-Denied Environments","S. I. K. Abdelaziz; H. Y. Elghamrawy; A. M. Noureldin; G. Fotopoulos","Electrical and Computer Engineering Department, Queen’s University, Kingston, ON, Canada; Electrical and Computer Engineering Department, Royal Military College of Canada, Kingston, ON, Canada; Electrical and Computer Engineering Department, Queen’s University, Kingston, ON, Canada; Department of Geological Science and Geological Engineering, Queen’s University, Kingston, ON, Canada",IEEE Access,"2 Feb 2024","2024","12","","15997","16008","The use of visual odometry in autonomous land vehicle and unmanned ground vehicle (UGV) applications has shown to be promising in providing robust and accurate positioning and navigation in GNSS-denied environments. While GNSS is the most accurate and reliable positioning source, it cannot be received indoors. Furthermore, low-cost micro-electro-mechanical system (MEMS)-based inertial sensors are used for positioning but can result in rapid drift during prolonged GNSS outages. To address these limitations, this paper proposes an innovative method of integrating MEMS-based inertial sensors with a vision-based navigation system. The vision-based navigation relies on a visual odometry pipeline modified to replace the feature-matching step with Lucas-Kanade optical flow. While the inertial-based system is derived from the three-dimensional reduced inertial sensor system (3D-RISS) and modified for a body-centered update. The fusion of both systems is based on an Extended Kalman filter (EKF) to estimate the position and heading information and correct for inertial sensor errors. To assess the effectiveness of the proposed method, real indoor and road test trajectories were conducted using both a Husky A200 UGV and a sensor-equipped minivan. The results show that the body-centered inertial system, aided with reliable vision updates, provides a reliable positioning solution for an extended duration in GNSS-denied environments.","2169-3536","","10.1109/ACCESS.2024.3357458","Natural Sciences and Engineering Research Council of Canada (NSERC)(grant numbers:RGPIN-2020-03900); CREATE-Multi Sensor Systems (MSS) Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10411891","Dead-reckoning;GPS;inertial navigation system (INS);navigation;sensor fusion;self-contained localization;unmanned ground vehicle (UGV);visual odometry","Navigation;Reliability;Robot sensing systems;Inertial sensors;Trajectory;Cameras;Global navigation satellite system;Dead reckoning;Sensor fusion;Autonomous vehicles;Odometry;Visual analytics","","6","","44","CCBY","22 Jan 2024","2024","","IEEE","IEEE Journals"
"Autonomous long-range navigation in GNSS-denied environment with low-cost UAV platform","A. R. Kuroswiski; N. M. F. de Oliveira; É. H. Shiguemori","Department of Electronic Engineering, Instituto Tecnológico de Aeronáutica (ITA), São José dos Campos, SP, Brazil; Department of Electronic Engineering, Instituto Tecnológico de Aeronáutica (ITA), São José dos Campos, SP, Brazil; Geo-Intelligence Division, Institute of Advanced Studies, São José dos Campos, SP, Brazil",2018 Annual IEEE International Systems Conference (SysCon),"31 May 2018","2018","","","1","6","The capability of an Unmanned Aerial Vehicle to navigate in GNSS-denied environments is desired in many situations, especially in situation in which the GNSS signal is not trustable. In this work is presented a solution based on a low-cost UAV platform, that uses a Landmark Recognition algorithm to compensate the inertial sensors errors cumulation, aiming to perform a long-range navigation, independently of GNSS information. The results in a real-time simulation demonstrated the effectiveness of the integration between the UAV control and the computer vision, performing a successful navigation of 20.7 km long at 400 meters high, where the system has been able to estimate the coordinates during the whole route, with an average error lower than 6 meters.","2472-9647","978-1-5386-3664-0","10.1109/SYSCON.2018.8369592","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8369592","Computer Vision;UAV;Autonomous Navigation","Meters;Global navigation satellite system;Computer vision;Satellites;Inertial sensors;Autonomous aerial vehicles;Real-time systems;Meteorology;Autonomous robots","","8","","14","IEEE","31 May 2018","23-26 April 2018","23-26 April 2018","IEEE","IEEE Conferences"
"Visual Odometry/Inertial Integration for Enhanced Land Vehicle Navigation in GNSS Denied Environment","A. Salib; M. Moussa; A. Moussa; N. El-Sheimy","Department of Geomatics, University of Calgary, Calgary, Canada; Department of Geomatics, University of Calgary, Calgary, Canada; Electrical and Computer Engineering Department, Port-Said University, Egypt University of Calgary, Calgary, Canada; Dept. Department of Geomatics, University of Calgary, Calgary, Canada",2020 IEEE 92nd Vehicular Technology Conference (VTC2020-Fall),"15 Feb 2021","2020","","","1","6","Self-driving vehicles have attained a huge research interest as it offers new opportunities for more secure and convenient transportation. Vision is considered one of the significant inputs to self-driving systems in terms of obstacle avoidance and navigation purposes. Recently, Consumer Portable Devices (CPDs) such as smartphones and tablets are continuously equipped with enhanced sensors and cameras that can be used in the navigation or obstacle avoidance applications. This paper presents an approach for enhancing the land vehicle navigation in GNSS denied environment by integrating the Visual Odometry (VO), On-Board Diagnostics information, and inertial sensors. The visual odometry is collected through a CPD camera (smartphone) which is mounted on the vehicle dashboard where the vehicle change of heading is estimated. On the other hand, the vehicle forward velocity information is acquired through On-Board Diagnostics II (OBD-II). In this paper, the proposed approach is a Global Navigation Satellite System/Inertial Navigation System (GNSS/INS) loosely coupled integration scheme where the VO heading change and the forward OBD-II velocity are used to aid the low-cost INS during GNSS signal outage to limit its drift through Extended Kalman Filter (EKF). The employed visual odometry estimates the orientation change between successive frames which requires a feature extraction step to extract the features in every frame followed by primary matching to match the features and estimate the rotation between frames. Experimental road test is implemented, and the results show significant position accuracy enhancement using the proposed approach compared with typical Dead Reckoning (DR) solution where the average position Root Mean Square Error (RMSE) of the DR is around 14 meters for 60 s GNSS signal outage while the average position RMSE for the proposed navigation approach is 4.40 meters during the same GNSS signal outage.","2577-2465","978-1-7281-9484-4","10.1109/VTC2020-Fall49728.2020.9348698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9348698","Visual Odometry;SURF;RANSAC;Dead Reckoning;GNSS/INS integration","Global navigation satellite system;Navigation;Inertial sensors;Feature extraction;Land vehicles;Smart phones;Visual odometry","","8","","24","IEEE","15 Feb 2021","18 Nov.-16 Dec. 2020","18 Nov.-16 Dec. 2020","IEEE","IEEE Conferences"
"Nonlinear Model Predictive Control for Self-Driving cars Trajectory Tracking in GNSS-denied environments","A. Barzegar; O. Doukhi; D. -J. Lee; Y. -h. Jo","Department of Mechanical Engineering, Kunsan National University, Gunsan, Korea; Department of Mechanical Engineering, Kunsan National University, Gunsan, Korea; Department of Mechanical Engineering, Kunsan National University, Gunsan, Korea; Department of Mechanical Engineering, Kunsan National University, Gunsan, Korea","2020 20th International Conference on Control, Automation and Systems (ICCAS)","1 Dec 2020","2020","","","750","755","In this paper, a trajectory tracking control problem for a self-driving vehicle is addressed using a nonlinear model predictive controller (NMPC). The solution relies on a direct multiple shooting method for discretizing the simplified differentially flat bicycle model which was used as a prediction plant to reduce the computational cost of NMPC. The solution makes use of the long prediction horizon of the NMPC, which allows safe trajectory tracking and achieving a user-specified goal location by controlling the longitudinal velocity and the steering angle. GNSS-denied navigation algorithm of the vehicle employs Visual Inertial Odometry (VIO) to obtain the position and orientation of car without using GNSS data. Simulation experiments is conducted to show the effectiveness of the system in tracking desired trajectories in high precision with speeds up to 1 m/s.","2642-3901","978-89-93215-20-5","10.23919/ICCAS50221.2020.9268233","Korea Institute for Advancement of Technology; National Research Foundation; National Research Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9268233","Trajectory tracking;NMPC;Nonlinear Model Predictive Control;Longitudinal control;Direct multiple shooting method;GPS denied navigation;Visual Inertial Odometry;GNSS-denied Navigation","Predictive models;Automobiles;Trajectory tracking;Trajectory;Navigation;Visualization;Heuristic algorithms","","6","","17","","1 Dec 2020","13-16 Oct. 2020","13-16 Oct. 2020","IEEE","IEEE Conferences"
"Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment","S. K. Thota","Department of Information Technology, University of the Cumberlands, Williamsburg, USA",2026 IEEE International Conference on Emerging Computing and Intelligent Technologies (ICoECIT),"5 May 2026","2026","","","1","6","Solutions for getting drone swarms localized when GPS is out of the picture. That's a big problem, really cuts into how reliable those autonomous jobs can be. This paper brings in a model that uses quantum stuff to boost the accuracy and how well the drones stick together. The idea here mixes quantum entanglement for syncing up between drones. It also throws in quantum-enhanced Kalman filtering to fuse sensor data better. That way, they get positions figured out more precisely and tougher against messes. We ran experiments on simulated groups of 10 drones. The setup cut down localization errors. It boosted computational efficiency too, by 25 per cent and 30 per cent in swarms dealing with different levels of interference. The thing is, these results point to quantum computing stepping up as a solid, scalable fix for swarm localization issues. It has real potential out there in tough spots without GPS, like disaster responses or city ops and even military stuff. The paper spells out how quantum tech could lead to the next wave of autonomous systems. It spots chances for using quantum algorithms in real-time navigation with multiple agents.","","979-8-3315-8997-4","10.1109/ICoECIT68303.2026.11497954","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11497954","quantum computing;drone swarms;localization;GPS-denied environments;quantum algorithms;swarm coordination","Jamming;Kalman filters;Filters;Biomimetics;MIMICs;Millimeter wave integrated circuits;Monolithic integrated circuits;Collaborative filtering;Filtering;Filtering theory","","","","36","IEEE","5 May 2026","28-29 Jan. 2026","28-29 Jan. 2026","IEEE","IEEE Conferences"
"EKF-Based Multi-Sensor Fusion for GPS-Denied Localization of an Autonomous Ground Vehicle","R. Elzard; O. Alqaisi; L. Alhorani; R. Benotsmane; H. Yetkin","Department of Electrical Engineering, University of Doha for Science and Technology, Doha, Qatar; Department of Electrical Engineering, University of Doha for Science and Technology, Doha, Qatar; Department of Electrical Engineering, University of Doha for Science and Technology, Doha, Qatar; Department of Electrical Engineering, University of Doha for Science and Technology, Doha, Qatar; Department of Electrical Engineering, University of Doha for Science and Technology, Doha, Qatar",2026 27th International Carpathian Control Conference (ICCC),"7 Jul 2026","2026","","","169","174","This paper presents an EKF-based multi-sensor fusion framework for GPS-denied localization of an autonomous ground vehicle. The proposed system integrates measurements from an inertial measurement unit, wheel encoders, and LiDAR to estimate the vehicle pose in terms of position and heading. Wheel encoder and IMU data are used for continuous motion prediction, while LiDAR-based localization provides environmental observations to correct accumulated drift. The framework is implemented on a compact Ackermann-steering robotic platform using a modular navigation architecture that integrates mapping, localization, obstacle avoidance, and motion control. Experimental validation in GPS-denied indoor environments demonstrates that the proposed fusion approach improves pose estimation consistency compared with dead-reckoning-based localization and reduces drift during trajectory tracking. The results confirm the suitability of the proposed framework for autonomous navigation applications where GPS signals are unavailable or unreliable, such as indoor inspection, search and rescue, and autonomous logistics.","","979-8-3195-3320-3","10.1109/ICCC71363.2026.11593316","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11593316","autonomous ground vehicles;GPS-denied localization;multi-sensor fusion;extended kalman filter;SLAM","Location awareness;Image sensors;Vehicles;Laser radar;Global Positioning System;Wheels;Simultaneous localization and mapping;Measurement;Land vehicles;Autonomous vehicles","","","","15","IEEE","7 Jul 2026","1-3 June 2026","1-3 June 2026","IEEE","IEEE Conferences"
"A Comparative Analysis of LiDAR SLAM-Based Indoor Navigation for Autonomous Vehicles","Q. Zou; Q. Sun; L. Chen; B. Nie; Q. Li","School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China; 722th Institute, China State Shipbuilding Corporation Ltd., Wuhan, China; Key Laboratory of Spatial Smart Sensing and Service, Shenzhen University, Shenzhen, China",IEEE Transactions on Intelligent Transportation Systems,"11 Jul 2022","2022","23","7","6907","6921","Simultaneous localization and mapping (SLAM) is a fundamental technique block in the indoor-navigation system for most autonomous vehicles and robots. SLAM aims at building a global consistent map of the environment while simultaneously determining the position and orientation of the robot in this map. Significant advances have been made in visual SLAM techniques in the past several years. However, due to the fragile performance in tracking feature points in environments that lack texture, e.g., a warehouse with blank white walls, visual SLAM can hardly provide a reliable localization. Compared with visual SLAM, LiDAR SLAM can often provide more robust localization in indoor environments by using 3D spatial information directly captured by LiDAR point clouds. Thus, LiDAR SLAM techniques are often employed in industrial applications such as automated guided vehicles (AGVs). In the past decades, a number of LiDAR SLAM methods have been proposed. However, the strength and weakness points of various LiDAR SLAMs are not clear, which may perplex the researchers and engineers. In this article, analysis and comparisons are made on different LiDAR SLAM-based indoor navigation methods, and extensive experiments are conducted to evaluate their performances in real environments. The comparative analysis and results can help researchers in academia and industry in constructing a suitable LiDAR SLAM system for indoor navigation for their own usage scenarios.","1558-0016","","10.1109/TITS.2021.3063477","National Natural Science Foundation of China(grant numbers:61872277); National Key Research and Development Program of China(grant numbers:2020YFC1522703); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381521","Indoor navigation;simultaneous localization and mapping (SLAM);autonomous driving;particle filtering;graph optimization","Simultaneous localization and mapping;Laser radar;Robots;Visualization;Location awareness;Indoor navigation;Autonomous vehicles","","294","","59","IEEE","18 Mar 2021","July 2022","","IEEE","IEEE Journals"
"Artificial Landmark-based Indoor Navigation System for an Autonomous Unmanned Aerial Vehicle","L. C. Chie; Y. W. Juin","Faculty of Engineering, Multimedia University, Cyberjaya, Malaysia; Faculty of Engineering, Multimedia University, Cyberjaya, Malaysia",2020 IEEE 7th International Conference on Industrial Engineering and Applications (ICIEA),"27 May 2020","2020","","","756","760","An artificial landmark-based indoor navigation system was developed to provide reliable and high accuracy indoor navigation service to an autonomous Unmanned Aerial Vehicle (UAV) with a low computational cost. In this approach, the position of the UAV with respect to the indoor environment was determined by the position information extracted from the artificial landmarks. The artificial landmarks were constructed based on QR codes which stored a unique text string that refer to an absolute coordinate of the indoor environment. Machine learning approaches were applied to provide the system with the ability to detect the landmark through the vision streamed by the aircraft. The system has been experimentally evaluated for proof of concept under practical conditions. The experiment results have proved that using QR code-based artificial landmark as a low computational cost solution is possible to achieve reliable and high accuracy indoor navigation service for an autonomous UAV.","","978-1-7281-6785-5","10.1109/ICIEA49774.2020.9102082","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9102082","indoor navigation;unmanned aerial vehicle;artificial landmark;machine learning","Feature extraction;Machine learning;Aircraft;Object detection;Indoor navigation;Unmanned aerial vehicles;Machine learning algorithms","","4","","6","IEEE","27 May 2020","16-21 April 2020","16-21 April 2020","IEEE","IEEE Conferences"
